,0,1
desc_ent1_Frequency_10 DURANGO,59,18
desc_ent1_Frequency_11 GUANAJUATO,196,74
desc_ent1_Frequency_12 GUERRERO,63,20
desc_ent1_Frequency_13 HIDALGO,62,24
desc_ent1_Frequency_14 JALISCO,43,3
desc_ent1_Frequency_15 MÉXICO,151,46
desc_ent1_Frequency_16 MICHOACÁN DE OCAMPO,44,19
desc_ent1_Frequency_17 MORELOS,49,18
desc_ent1_Frequency_18 NAYARIT,44,7
desc_ent1_Frequency_19 NUEVO LEÓN,115,34
desc_ent1_Frequency_20 OAXACA,56,31
desc_ent1_Frequency_21 PUEBLA,40,15
desc_ent1_Frequency_22 QUERÉTARO,58,19
desc_ent1_Frequency_23 QUINTANA ROO,42,8
desc_ent1_Frequency_24 SAN LUIS POTOSÍ,57,17
desc_ent1_Frequency_25 SINALOA,40,12
desc_ent1_Frequency_26 SONORA,43,9
desc_ent1_Frequency_27 TABASCO,65,35
desc_ent1_Frequency_28 TAMAULIPAS,40,10
desc_ent1_Frequency_29 TLAXCALA,52,18
desc_ent1_Frequency_30 VERACRUZ DE IGNACIO DE LA LLAVE,49,17
desc_ent1_Frequency_31 YUCATÁN,46,3
desc_ent1_Frequency_32 ZACATECAS,51,15
h0302_Frequency_1,942,276
h0302_Frequency_2,1059,391
h0304d_Frequency_1,15,12
h0304d_Frequency_2,23,6
h0304d_Frequency_3,23,0
h0304d_Frequency_4,20,6
h0304d_Frequency_5,20,4
h0304d_Frequency_6,15,13
h0304d_Frequency_7,11,6
h0304d_Frequency_8,16,3
h0304d_Frequency_9,14,6
h0304d_Frequency_10,18,6
h0304d_Frequency_11,15,1
h0304d_Frequency_12,17,4
h0304d_Frequency_13,12,6
h0304d_Frequency_14,16,5
h0304d_Frequency_15,22,5
h0304d_Frequency_16,11,11
h0304d_Frequency_17,24,15
h0304d_Frequency_18,21,11
h0304d_Frequency_19,18,7
h0304d_Frequency_20,24,5
h0304d_Frequency_21,20,2
h0304d_Frequency_22,16,9
h0304d_Frequency_23,15,1
h0304d_Frequency_24,12,9
h0304d_Frequency_25,14,9
h0304d_Frequency_26,21,5
h0304d_Frequency_27,24,4
h0304d_Frequency_28,24,4
h0304d_Frequency_29,17,3
h0304d_Frequency_30,14,3
h0304d_Frequency_31,13,5
h0304d_Frequency_99,6,2
h0304d_Frequency_1,41,20
h0304d_Frequency_10,61,20
h0304d_Frequency_11,55,18
h0304d_Frequency_12,45,16
h0304d_Frequency_13,40,19
h0304d_Frequency_14,46,13
h0304d_Frequency_15,45,21
h0304d_Frequency_16,48,14
h0304d_Frequency_17,43,15
h0304d_Frequency_18,45,12
h0304d_Frequency_19,45,16
h0304d_Frequency_2,48,13
h0304d_Frequency_20,47,15
h0304d_Frequency_21,38,14
h0304d_Frequency_22,45,9
h0304d_Frequency_23,49,23
h0304d_Frequency_24,53,14
h0304d_Frequency_25,43,10
h0304d_Frequency_26,44,14
h0304d_Frequency_27,56,13
h0304d_Frequency_28,48,13
h0304d_Frequency_29,35,9
h0304d_Frequency_3,39,19
h0304d_Frequency_30,33,21
h0304d_Frequency_31,14,7
h0304d_Frequency_4,52,14
h0304d_Frequency_5,61,17
h0304d_Frequency_6,42,15
h0304d_Frequency_7,45,15
h0304d_Frequency_8,60,14
h0304d_Frequency_9,40,24
h0304d_Frequency_99,43,2
h0304m_Frequency_1,55,13
h0304m_Frequency_2,41,10
h0304m_Frequency_3,50,13
h0304m_Frequency_4,38,8
h0304m_Frequency_5,49,18
h0304m_Frequency_6,41,13
h0304m_Frequency_7,48,19
h0304m_Frequency_8,45,17
h0304m_Frequency_9,43,14
h0304m_Frequency_10,47,25
h0304m_Frequency_11,39,15
h0304m_Frequency_12,52,23
h0304m_Frequency_99,3,0
h0304m_Frequency_1,116,57
h0304m_Frequency_10,109,40
h0304m_Frequency_11,134,38
h0304m_Frequency_12,120,45
h0304m_Frequency_2,97,36
h0304m_Frequency_3,121,43
h0304m_Frequency_4,112,30
h0304m_Frequency_5,145,27
h0304m_Frequency_6,98,37
h0304m_Frequency_7,121,38
h0304m_Frequency_8,125,42
h0304m_Frequency_9,118,44
h0304m_Frequency_99,33,2
meses_Frequency_0,43,17
meses_Frequency_1,55,24
meses_Frequency_2,51,11
meses_Frequency_3,45,13
meses_Frequency_4,39,12
meses_Frequency_5,45,19
meses_Frequency_6,44,8
meses_Frequency_7,46,17
meses_Frequency_8,58,7
meses_Frequency_9,47,20
meses_Frequency_10,32,24
meses_Frequency_11,46,16
meses_Frequency_0,103,42
meses_Frequency_1,172,39
meses_Frequency_10,117,35
