,0,1
desc_ent1_Frequency_24 SAN LUIS POTOSÍ,2628,17
desc_ent1_Frequency_25 SINALOA,2269,12
desc_ent1_Frequency_26 SONORA,1873,9
desc_ent1_Frequency_27 TABASCO,2556,35
desc_ent1_Frequency_28 TAMAULIPAS,2014,10
desc_ent1_Frequency_29 TLAXCALA,2223,18
desc_ent1_Frequency_30 VERACRUZ DE IGNACIO DE LA LLAVE,2325,17
desc_ent1_Frequency_31 YUCATÁN,2096,3
desc_ent1_Frequency_32 ZACATECAS,2760,15
h0302_Frequency_1,43090,276
h0302_Frequency_2,48806,391
h0304d_Frequency_1,921,12
h0304d_Frequency_2,870,6
h0304d_Frequency_3,876,0
h0304d_Frequency_4,963,6
h0304d_Frequency_5,916,4
h0304d_Frequency_6,964,13
h0304d_Frequency_7,939,6
h0304d_Frequency_8,954,3
h0304d_Frequency_9,830,6
h0304d_Frequency_10,985,6
h0304d_Frequency_11,827,1
h0304d_Frequency_12,916,4
h0304d_Frequency_13,827,6
h0304d_Frequency_14,842,5
h0304d_Frequency_15,930,5
h0304d_Frequency_16,800,11
h0304d_Frequency_17,844,15
h0304d_Frequency_18,895,11
h0304d_Frequency_19,845,7
h0304d_Frequency_20,877,5
h0304d_Frequency_21,830,2
h0304d_Frequency_22,823,9
h0304d_Frequency_23,796,1
h0304d_Frequency_24,852,9
h0304d_Frequency_25,860,9
h0304d_Frequency_26,808,5
h0304d_Frequency_27,872,4
h0304d_Frequency_28,830,4
h0304d_Frequency_29,737,3
h0304d_Frequency_30,744,3
h0304d_Frequency_31,409,5
h0304d_Frequency_99,334,2
h0304d_Frequency_1,2318,20
h0304d_Frequency_10,2231,20
h0304d_Frequency_11,2080,18
h0304d_Frequency_12,2193,16
h0304d_Frequency_13,1978,19
h0304d_Frequency_14,1968,13
h0304d_Frequency_15,2172,21
h0304d_Frequency_16,2052,14
h0304d_Frequency_17,1990,15
h0304d_Frequency_18,1956,12
h0304d_Frequency_19,1913,16
h0304d_Frequency_2,2269,13
h0304d_Frequency_20,2227,15
h0304d_Frequency_21,2045,14
h0304d_Frequency_22,2020,9
h0304d_Frequency_23,1965,23
h0304d_Frequency_24,2039,14
h0304d_Frequency_25,2061,10
h0304d_Frequency_26,1916,14
h0304d_Frequency_27,2018,13
h0304d_Frequency_28,2134,13
h0304d_Frequency_29,1850,9
h0304d_Frequency_3,2236,19
h0304d_Frequency_30,1846,21
h0304d_Frequency_31,1032,7
h0304d_Frequency_4,2255,14
h0304d_Frequency_5,2294,17
h0304d_Frequency_6,2224,15
h0304d_Frequency_7,2077,15
h0304d_Frequency_8,2276,14
h0304d_Frequency_9,1926,24
h0304d_Frequency_99,1577,2
h0304m_Frequency_1,2230,13
h0304m_Frequency_2,2033,10
h0304m_Frequency_3,2198,13
h0304m_Frequency_4,2074,8
h0304m_Frequency_5,2255,18
h0304m_Frequency_6,2164,13
h0304m_Frequency_7,2259,19
h0304m_Frequency_8,2316,17
h0304m_Frequency_9,2314,14
h0304m_Frequency_10,2310,25
h0304m_Frequency_11,2136,15
h0304m_Frequency_12,2260,23
h0304m_Frequency_99,167,0
h0304m_Frequency_1,5297,57
h0304m_Frequency_10,5365,40
h0304m_Frequency_11,5248,38
h0304m_Frequency_12,5421,45
h0304m_Frequency_2,4844,36
h0304m_Frequency_3,5258,43
h0304m_Frequency_4,5050,30
h0304m_Frequency_5,5229,27
h0304m_Frequency_6,5166,37
h0304m_Frequency_7,5660,38
h0304m_Frequency_8,5865,42
h0304m_Frequency_9,5563,44
h0304m_Frequency_99,1172,2
meses_Frequency_0,2359,17
meses_Frequency_1,2639,24
meses_Frequency_2,2228,11
meses_Frequency_3,2165,13
meses_Frequency_4,2154,12
meses_Frequency_5,2131,19
meses_Frequency_6,2109,8
meses_Frequency_7,2114,17
meses_Frequency_8,2202,7
meses_Frequency_9,2228,20
meses_Frequency_10,2194,24
meses_Frequency_11,2193,16
meses_Frequency_0,5505,42
meses_Frequency_1,7460,39
meses_Frequency_10,5225,35
meses_Frequency_11,5565,41
meses_Frequency_2,5430,45
meses_Frequency_3,5214,29
meses_Frequency_4,5026,24
meses_Frequency_5,5033,44
meses_Frequency_6,4983,42
